GENDER,AGE_GRP,INCOME,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,MVMN,WEEKEND_INCLUDED,SEASON,TOTAL_COST,TRAVEL_COMPANIONS_NUM,TRAVEL_DAY,TOTAL_AMT,TOTAL_LODGE,TOTAL_MVMN,lat_start,lon_start,lat_dest,lon_dest
여,40,4,대구,서울,자가용,1,여름,2703620.0,7.0,6.0,289950.0,2216720.0,196950.0,35.8713802646197,128.601805491072,37.566826004661,126.978652258309
여,40,4,대구,전남,자가용,1,가을,236200.0,1.0,3.0,114600.0,109900.0,11700.0,35.8713802646197,128.601805491072,34.8160821478848,126.462788333376
여,40,4,대전,경기,자가용,0,가을,341300.0,4.0,2.0,271300.0,0.0,70000.0,36.3505388992836,127.38483484675,37.2749769872425,127.00892996953
여,40,4,대전,서울,대중교통 등,1,가을,66300.0,0.0,3.0,30500.0,0.0,35800.0,36.3505388992836,127.38483484675,37.566826004661,126.978652258309
여,40,4,대전,세종,대중교통 등,1,가을,10200.0,0.0,2.0,6500.0,0.0,3700.0,36.3505388992836,127.38483484675,36.4800649113762,127.289195324698
여,40,4,대전,충북,자가용,1,가을,172050.0,3.0,2.0,164500.0,0.0,7550.0,36.3505388992836,127.38483484675,36.6353581959954,127.491457326501
여,40,4,부산,강원,자가용,1,여름,420520.0,1.0,3.0,195820.0,129000.0,95700.0,35.1798200522868,129.075087492149,37.8853257858209,127.729829010354
여,40,4,부산,경남,자가용,1,가을,246884.444444444,2.0,2.72222222222222,68780.0,127360.0,50744.4444444444,35.1798200522868,129.075087492149,35.2377742104522,128.69189688916
여,40,4,부산,경남,자가용,1,여름,189207.0,3.0,3.0,113500.0,0.0,75707.0,35.1798200522868,129.075087492149,35.2377742104522,128.69189688916
여,40,4,부산,제주,렌탈,0,가을,748200.0,0.0,4.0,151800.0,225000.0,371400.0,35.1798200522868,129.075087492149,33.4889179032603,126.498229141199
여,40,4,부산,제주,렌탈,1,여름,1698300.0,4.0,4.0,589200.0,219000.0,890100.0,35.1798200522868,129.075087492149,33.4889179032603,126.498229141199
여,40,4,부산,제주,자가용,1,가을,957991.525423729,2.3728813559322,4.08474576271186,245893.220338983,46101.6949152542,665996.610169491,35.1798200522868,129.075087492149,33.4889179032603,126.498229141199
여,40,4,서울,강원,대중교통 등,0,가을,91300.0,0.666666666666667,2.0,34100.0,0.0,57200.0,37.566826004661,126.978652258309,37.8853257858209,127.729829010354
여,40,4,서울,강원,대중교통 등,1,가을,519015.609756098,4.39024390243902,2.09756097560976,173143.902439024,6048.78048780488,339822.926829268,37.566826004661,126.978652258309,37.8853257858209,127.729829010354
여,40,4,서울,강원,자가용,0,가을,60000.0,1.0,2.0,18000.0,0.0,42000.0,37.566826004661,126.978652258309,37.8853257858209,127.729829010354
여,40,4,서울,강원,자가용,0,여름,346200.0,3.0,3.0,176200.0,170000.0,0.0,37.566826004661,126.978652258309,37.8853257858209,127.729829010354
여,40,4,서울,강원,자가용,1,가을,207182.740740741,2.37037037037037,2.40740740740741,130301.111111111,14351.8518518519,62529.7777777778,37.566826004661,126.978652258309,37.8853257858209,127.729829010354
여,40,4,서울,경기,대중교통 등,0,가을,86200.0,0.0,3.0,61600.0,0.0,24600.0,37.566826004661,126.978652258309,37.2749769872425,127.00892996953
여,40,4,서울,경기,대중교통 등,0,여름,25050.0,0.0,2.0,8950.0,0.0,16100.0,37.566826004661,126.978652258309,37.2749769872425,127.00892996953
여,40,4,서울,경기,대중교통 등,1,가을,151200.0,4.16666666666667,2.0,79400.0,0.0,71800.0,37.566826004661,126.978652258309,37.2749769872425,127.00892996953
여,40,4,서울,경기,자가용,0,가을,303000.0,2.0,3.0,144000.0,113000.0,46000.0,37.566826004661,126.978652258309,37.2749769872425,127.00892996953
여,40,4,서울,경기,자가용,1,가을,89771.7777777778,1.93333333333333,2.08888888888889,64432.8888888889,0.0,25338.8888888889,37.566826004661,126.978652258309,37.2749769872425,127.00892996953
여,40,4,서울,경기,자가용,1,여름,170600.0,3.0,3.0,169000.0,0.0,1600.0,37.566826004661,126.978652258309,37.2749769872425,127.00892996953
여,40,4,서울,경북,대중교통 등,1,여름,96200.0,1.0,4.0,77000.0,0.0,19200.0,37.566826004661,126.978652258309,36.5759962255808,128.505799255401
여,40,4,서울,경북,렌탈,1,가을,599810.0,3.0,2.0,22000.0,0.0,577810.0,37.566826004661,126.978652258309,36.5759962255808,128.505799255401
여,40,4,서울,경북,자가용,0,가을,1690152.5,1.75,2.75,1520402.5,37500.0,132250.0,37.566826004661,126.978652258309,36.5759962255808,128.505799255401
여,40,4,서울,경북,자가용,1,여름,823180.0,5.0,3.0,428580.0,300000.0,94600.0,37.566826004661,126.978652258309,36.5759962255808,128.505799255401
여,40,4,서울,광주,자가용,1,가을,200730.0,3.0,3.0,115400.0,0.0,85330.0,37.566826004661,126.978652258309,37.4293941934866,127.255138719721
여,40,4,서울,인천,대중교통 등,0,가을,228380.0,1.0,3.0,151580.0,55000.0,21800.0,37.566826004661,126.978652258309,37.4560044656444,126.705258070068
여,40,4,서울,인천,렌탈,0,가을,198740.0,1.0,2.0,90700.0,0.0,108040.0,37.566826004661,126.978652258309,37.4560044656444,126.705258070068
여,40,4,서울,인천,자가용,0,가을,342080.0,3.0,3.0,292080.0,50000.0,0.0,37.566826004661,126.978652258309,37.4560044656444,126.705258070068
여,40,4,서울,인천,자가용,1,가을,116800.0,3.0,2.0,111800.0,0.0,5000.0,37.566826004661,126.978652258309,37.4560044656444,126.705258070068
